"('4931', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3740', 'Final Jeopardy!', None, 'SCIENCE')"
"('1795', 'Jeopardy!', '$100', 'SCIENCE')"
"('1795', 'Jeopardy!', '$200', 'SCIENCE')"
"('1795', 'Jeopardy!', '$300', 'SCIENCE')"
"('1795', 'Jeopardy!', '$400', 'SCIENCE')"
"('1795', 'Jeopardy!', '$500', 'SCIENCE')"
"('2975', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2975', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2975', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2975', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2975', 'Double Jeopardy!', '$3,000', 'SCIENCE')"
"('59', 'Jeopardy!', '$100', 'SCIENCE')"
"('59', 'Jeopardy!', '$200', 'SCIENCE')"
"('59', 'Jeopardy!', '$300', 'SCIENCE')"
"('59', 'Jeopardy!', '$400', 'SCIENCE')"
"('59', 'Jeopardy!', '$500', 'SCIENCE')"
"('2925', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2925', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2925', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2925', 'Double Jeopardy!', '$2,000', 'SCIENCE')"
"('2925', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('1480', 'Jeopardy!', '$100', 'SCIENCE')"
"('1480', 'Jeopardy!', '$200', 'SCIENCE')"
"('1480', 'Jeopardy!', '$300', 'SCIENCE')"
"('1480', 'Jeopardy!', '$400', 'SCIENCE')"
"('1480', 'Jeopardy!', '$500', 'SCIENCE')"
"('2020', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2020', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2020', 'Double Jeopardy!', '$1,000', 'SCIENCE')"
"('2020', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2020', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('1985', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1985', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1985', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1985', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1985', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('58', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('58', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('58', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('58', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('58', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('4304', 'Jeopardy!', '$200', 'SCIENCE')"
"('4304', 'Jeopardy!', '$400', 'SCIENCE')"
"('4304', 'Jeopardy!', '$600', 'SCIENCE')"
"('4304', 'Jeopardy!', '$800', 'SCIENCE')"
"('4304', 'Jeopardy!', '$1000', 'SCIENCE')"
"('5430', 'Jeopardy!', '$400', 'SCIENCE')"
"('5430', 'Jeopardy!', '$800', 'SCIENCE')"
"('3063', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3063', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3063', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3063', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3063', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2762', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2762', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2762', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2762', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2762', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2052', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2052', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2052', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2052', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2052', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('1851', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1851', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1851', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1851', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('4696', 'Jeopardy!', '$200', 'SCIENCE')"
"('4696', 'Jeopardy!', '$400', 'SCIENCE')"
"('4696', 'Jeopardy!', '$600', 'SCIENCE')"
"('4696', 'Jeopardy!', '$800', 'SCIENCE')"
"('4696', 'Jeopardy!', '$1,800', 'SCIENCE')"
"('4956', 'Jeopardy!', '$200', 'SCIENCE')"
"('4956', 'Jeopardy!', '$1,000', 'SCIENCE')"
"('4956', 'Jeopardy!', '$800', 'SCIENCE')"
"('4956', 'Jeopardy!', '$1000', 'SCIENCE')"
"('5563', 'Jeopardy!', '$200', 'SCIENCE')"
"('5563', 'Jeopardy!', '$600', 'SCIENCE')"
"('5563', 'Jeopardy!', '$1000', 'SCIENCE')"
"('498', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('498', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('498', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('498', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('498', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3252', 'Jeopardy!', '$100', 'SCIENCE')"
"('3252', 'Jeopardy!', '$200', 'SCIENCE')"
"('3252', 'Jeopardy!', '$300', 'SCIENCE')"
"('3252', 'Jeopardy!', '$400', 'SCIENCE')"
"('3252', 'Jeopardy!', '$500', 'SCIENCE')"
"('2885', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2885', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2885', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2885', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2885', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('739', 'Jeopardy!', '$300', 'SCIENCE')"
"('739', 'Jeopardy!', '$400', 'SCIENCE')"
"('739', 'Jeopardy!', '$500', 'SCIENCE')"
"('6004', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('6004', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('6004', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('2236', 'Jeopardy!', '$100', 'SCIENCE')"
"('2236', 'Jeopardy!', '$200', 'SCIENCE')"
"('2236', 'Jeopardy!', '$300', 'SCIENCE')"
"('2236', 'Jeopardy!', '$400', 'SCIENCE')"
"('2236', 'Jeopardy!', '$500', 'SCIENCE')"
"('3580', 'Jeopardy!', '$100', 'SCIENCE')"
"('3580', 'Jeopardy!', '$200', 'SCIENCE')"
"('3580', 'Jeopardy!', '$300', 'SCIENCE')"
"('3580', 'Jeopardy!', '$400', 'SCIENCE')"
"('3580', 'Jeopardy!', '$500', 'SCIENCE')"
"('4812', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4812', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4812', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('4812', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('4185', 'Jeopardy!', '$200', 'SCIENCE')"
"('4185', 'Jeopardy!', '$400', 'SCIENCE')"
"('4185', 'Jeopardy!', '$600', 'SCIENCE')"
"('4185', 'Jeopardy!', '$800', 'SCIENCE')"
"('4185', 'Jeopardy!', '$1000', 'SCIENCE')"
"('1323', 'Jeopardy!', '$400', 'SCIENCE')"
"('306', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('306', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2980', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2980', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2980', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2980', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2980', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2130', 'Jeopardy!', '$100', 'SCIENCE')"
"('2130', 'Jeopardy!', '$200', 'SCIENCE')"
"('2130', 'Jeopardy!', '$300', 'SCIENCE')"
"('2130', 'Jeopardy!', '$400', 'SCIENCE')"
"('2130', 'Jeopardy!', '$500', 'SCIENCE')"
"('6077', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('6077', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('6077', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('1254', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1254', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1254', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1254', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1254', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('5306', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5306', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5306', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('1486', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1486', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1486', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1486', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1486', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('5638', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5638', 'Double Jeopardy!', '$1,200', 'SCIENCE')"
"('3933', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3933', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3933', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3933', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3933', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3787', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3787', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3787', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3787', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3364', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('5500', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5500', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3364', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3364', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2985', 'Jeopardy!', '$100', 'SCIENCE')"
"('2985', 'Jeopardy!', '$200', 'SCIENCE')"
"('2985', 'Jeopardy!', '$300', 'SCIENCE')"
"('2985', 'Jeopardy!', '$400', 'SCIENCE')"
"('2985', 'Jeopardy!', '$500', 'SCIENCE')"
"('2949', 'Jeopardy!', '$100', 'SCIENCE')"
"('2949', 'Jeopardy!', '$200', 'SCIENCE')"
"('2949', 'Jeopardy!', '$300', 'SCIENCE')"
"('2949', 'Jeopardy!', '$400', 'SCIENCE')"
"('2949', 'Jeopardy!', '$500', 'SCIENCE')"
"('5160', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5160', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('5160', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('66', 'Jeopardy!', '$100', 'SCIENCE')"
"('66', 'Jeopardy!', '$200', 'SCIENCE')"
"('66', 'Jeopardy!', '$300', 'SCIENCE')"
"('66', 'Jeopardy!', '$400', 'SCIENCE')"
"('66', 'Jeopardy!', '$500', 'SCIENCE')"
"('5500', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5500', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5500', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('3330', 'Double Jeopardy!', '$800', 'BIOCHEMISTRY')"
"('2902', 'Jeopardy!', '$100', 'SCIENCE')"
"('2902', 'Jeopardy!', '$200', 'SCIENCE')"
"('2902', 'Jeopardy!', '$300', 'SCIENCE')"
"('2902', 'Jeopardy!', '$400', 'SCIENCE')"
"('2902', 'Jeopardy!', '$500', 'SCIENCE')"
"('3374', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3374', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3374', 'Double Jeopardy!', '$1,500', 'SCIENCE')"
"('3374', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3374', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3887', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3887', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3887', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3887', 'Double Jeopardy!', '$1,500', 'SCIENCE')"
"('3887', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3852', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3852', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3852', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3852', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3852', 'Double Jeopardy!', '$1,100', 'SCIENCE')"
"('533', 'Jeopardy!', '$100', 'SCIENCE')"
"('533', 'Jeopardy!', '$200', 'SCIENCE')"
"('533', 'Jeopardy!', '$300', 'SCIENCE')"
"('533', 'Jeopardy!', '$400', 'SCIENCE')"
"('533', 'Jeopardy!', '$500', 'SCIENCE')"
"('2898', 'Jeopardy!', '$100', 'SCIENCE')"
"('2898', 'Jeopardy!', '$200', 'SCIENCE')"
"('2898', 'Jeopardy!', '$300', 'SCIENCE')"
"('2898', 'Jeopardy!', '$400', 'SCIENCE')"
"('2898', 'Jeopardy!', '$500', 'SCIENCE')"
"('278', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('278', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('278', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('278', 'Double Jeopardy!', '$1,800', 'SCIENCE')"
"('278', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('5186', 'Jeopardy!', '$200', 'SCIENCE')"
"('5186', 'Jeopardy!', '$600', 'SCIENCE')"
"('5186', 'Jeopardy!', '$800', 'SCIENCE')"
"('4276', 'Final Jeopardy!', None, 'SCIENCE')"
"('2997', 'Jeopardy!', '$100', 'SCIENCE')"
"('2997', 'Jeopardy!', '$200', 'SCIENCE')"
"('2997', 'Jeopardy!', '$300', 'SCIENCE')"
"('2997', 'Jeopardy!', '$400', 'SCIENCE')"
"('2997', 'Jeopardy!', '$1,700', 'SCIENCE')"
"('5520', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5520', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5520', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('5520', 'Double Jeopardy!', '$5,000', 'SCIENCE')"
"('5520', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('1905', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1905', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1905', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1905', 'Double Jeopardy!', '$2,000', 'SCIENCE')"
"('1905', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3601', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3601', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3601', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3601', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3601', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('5104', 'Jeopardy!', '$200', 'SCIENCE')"
"('5104', 'Jeopardy!', '$400', 'SCIENCE')"
"('5104', 'Jeopardy!', '$600', 'SCIENCE')"
"('5104', 'Jeopardy!', '$800', 'SCIENCE')"
"('5104', 'Jeopardy!', '$3,000', 'SCIENCE')"
"('4676', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4676', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4676', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('4676', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('4676', 'Double Jeopardy!', '$2,200', 'SCIENCE')"
"('2779', 'Jeopardy!', '$100', 'SCIENCE')"
"('2779', 'Jeopardy!', '$200', 'SCIENCE')"
"('2779', 'Jeopardy!', '$300', 'SCIENCE')"
"('2779', 'Jeopardy!', '$400', 'SCIENCE')"
"('2779', 'Jeopardy!', '$500', 'SCIENCE')"
"('67', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('67', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('67', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('67', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('67', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('4906', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4906', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4906', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('4906', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('5780', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5780', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5780', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('5780', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('5780', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('6167', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('6167', 'Double Jeopardy!', '$3,200', 'SCIENCE')"
"('6167', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('6167', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('5274', 'Jeopardy!', '$400', 'SCIENCE')"
"('5274', 'Jeopardy!', '$800', 'SCIENCE')"
"('2578', 'Jeopardy!', '$100', 'SCIENCE')"
"('2578', 'Jeopardy!', '$200', 'SCIENCE')"
"('2578', 'Jeopardy!', '$300', 'SCIENCE')"
"('2578', 'Jeopardy!', '$400', 'SCIENCE')"
"('2578', 'Jeopardy!', '$500', 'SCIENCE')"
"('2628', 'Jeopardy!', '$100', 'SCIENCE')"
"('2628', 'Jeopardy!', '$200', 'SCIENCE')"
"('2628', 'Jeopardy!', '$300', 'SCIENCE')"
"('2628', 'Jeopardy!', '$400', 'SCIENCE')"
"('2628', 'Jeopardy!', '$500', 'SCIENCE')"
"('6257', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('6257', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('6257', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('6257', 'Double Jeopardy!', '$1,000', 'SCIENCE')"
"('2753', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2753', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2753', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2753', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2753', 'Double Jeopardy!', '$2,000', 'SCIENCE')"
"('1158', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1158', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1158', 'Double Jeopardy!', '$1,800', 'SCIENCE')"
"('1158', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1158', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('1474', 'Jeopardy!', '$100', 'SCIENCE')"
"('1474', 'Jeopardy!', '$200', 'SCIENCE')"
"('1474', 'Jeopardy!', '$300', 'SCIENCE')"
"('1474', 'Jeopardy!', '$400', 'SCIENCE')"
"('1474', 'Jeopardy!', '$500', 'SCIENCE')"
"('1790', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1790', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1790', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1790', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1790', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2922', 'Jeopardy!', '$100', 'SCIENCE')"
"('2922', 'Jeopardy!', '$200', 'SCIENCE')"
"('2922', 'Jeopardy!', '$300', 'SCIENCE')"
"('2922', 'Jeopardy!', '$400', 'SCIENCE')"
"('2922', 'Jeopardy!', '$500', 'SCIENCE')"
"('3828', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3828', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3828', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3828', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3828', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2353', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('2353', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('2353', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('2353', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('2353', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3019', 'Jeopardy!', '$100', 'SCIENCE')"
"('3019', 'Jeopardy!', '$200', 'SCIENCE')"
"('3019', 'Jeopardy!', '$400', 'SCIENCE')"
"('3019', 'Jeopardy!', '$500', 'SCIENCE')"
"('5736', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5736', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5736', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('1426', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1426', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1426', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1426', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1426', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('3444', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3444', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3444', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3444', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3444', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('2869', 'Jeopardy!', '$100', 'SCIENCE')"
"('2869', 'Jeopardy!', '$200', 'SCIENCE')"
"('2869', 'Jeopardy!', '$300', 'SCIENCE')"
"('2869', 'Jeopardy!', '$400', 'SCIENCE')"
"('2869', 'Jeopardy!', '$500', 'SCIENCE')"
"('2901', 'Final Jeopardy!', None, 'SCIENCE')"
"('2543', 'Jeopardy!', '$100', 'SCIENCE')"
"('2543', 'Jeopardy!', '$200', 'SCIENCE')"
"('2543', 'Jeopardy!', '$300', 'SCIENCE')"
"('2543', 'Jeopardy!', '$400', 'SCIENCE')"
"('2543', 'Jeopardy!', '$500', 'SCIENCE')"
"('4996', 'Final Jeopardy!', None, 'SCIENCE')"
"('2624', 'Jeopardy!', '$100', 'SCIENCE')"
"('2624', 'Jeopardy!', '$200', 'SCIENCE')"
"('2624', 'Jeopardy!', '$300', 'SCIENCE')"
"('2624', 'Jeopardy!', '$400', 'SCIENCE')"
"('2624', 'Jeopardy!', '$700', 'SCIENCE')"
"('4324', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4324', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4324', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('4324', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('4324', 'Double Jeopardy!', '$4,000', 'SCIENCE')"
"('5213', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5213', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5213', 'Double Jeopardy!', '$2,000', 'SCIENCE')"
"('5213', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('5213', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('4228', 'Jeopardy!', '$200', 'SCIENCE')"
"('4228', 'Jeopardy!', '$400', 'SCIENCE')"
"('4228', 'Jeopardy!', '$600', 'SCIENCE')"
"('4228', 'Jeopardy!', '$800', 'SCIENCE')"
"('4228', 'Jeopardy!', '$1000', 'SCIENCE')"
"('4212', 'Final Jeopardy!', None, 'SCIENCE')"
"('5915', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5915', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5915', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('5915', 'Double Jeopardy!', '$2,500', 'SCIENCE')"
"('5915', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('1296', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1296', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1296', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('1296', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('1296', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('280', 'Jeopardy!', '$100', 'SCIENCE')"
"('280', 'Jeopardy!', '$200', 'SCIENCE')"
"('280', 'Jeopardy!', '$300', 'SCIENCE')"
"('280', 'Jeopardy!', '$400', 'SCIENCE')"
"('280', 'Jeopardy!', '$500', 'SCIENCE')"
"('5502', 'Jeopardy!', '$200', 'SCIENCE')"
"('5502', 'Jeopardy!', '$400', 'SCIENCE')"
"('5502', 'Jeopardy!', '$800', 'SCIENCE')"
"('5502', 'Jeopardy!', '$1000', 'SCIENCE')"
"('5705', 'Jeopardy!', '$200', 'SCIENCE')"
"('5705', 'Jeopardy!', '$400', 'SCIENCE')"
"('5705', 'Jeopardy!', '$600', 'SCIENCE')"
"('5705', 'Jeopardy!', '$800', 'SCIENCE')"
"('5705', 'Jeopardy!', '$1000', 'SCIENCE')"
"('3622', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('3622', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('3622', 'Double Jeopardy!', '$600', 'SCIENCE')"
"('3622', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('3622', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('1323', 'Jeopardy!', '$100', 'SCIENCE')"
"('1323', 'Jeopardy!', '$200', 'SCIENCE')"
"('1323', 'Jeopardy!', '$300', 'SCIENCE')"
"('1323', 'Jeopardy!', '$400', 'SCIENCE')"
"('1323', 'Jeopardy!', '$500', 'SCIENCE')"
