forum_topic,post_id
buddhism,11799
cooking,57191
sports,16189
interpersonal,15744
fitness,15393
fitness,6965
health,7604
sports,13598
productivity,397
gardening,7681
mythology,1049
pets,6773
cooking,71454
pets,17503
pets,11346
diy,49804
interpersonal,259
productivity,14613
health,13438
health,15636
productivity,531
health,12991
cooking,33507
fitness,37891
buddhism,23846
outdoors,18918
buddhism,8927
mythology,1825
fitness,6163
diy,58708
fitness,24140
interpersonal,12960
parenting,26384
gardening,17636
gardening,16105
mythology,5014
mythology,1359
history,30219
history,2383
gardening,822
pets,2012
mythology,957
diy,63326
productivity,14710
buddhism,10361
history,24129
interpersonal,4225
gardening,36324
cooking,55641
cooking,20865
mythology,1995
cooking,83112
diy,31640
interpersonal,13242
gardening,3207
history,17190
gardening,17798
fitness,29545
health,16633
productivity,1029
history,47869
outdoors,19408
parenting,19188
interpersonal,12243
fitness,3401
travel,64943
productivity,18073
buddhism,8393
health,10911
parenting,7928
gardening,2662
outdoors,20318
history,15513
health,17022
interpersonal,17574
history,17435
productivity,5595
interpersonal,14998
productivity,7744
productivity,4187
buddhism,25712
health,14738
travel,104174
sports,2851
outdoors,1276
productivity,17464
health,15992
buddhism,17922
outdoors,19713
productivity,17153
history,45318
diy,115982
interpersonal,9117
outdoors,13144
sports,4146
parenting,27261
history,28589
health,3622
travel,103499
buddhism,21729
diy,72954
gardening,25273
parenting,14872
interpersonal,7310
cooking,8700
fitness,2913
interpersonal,15784
pets,15353
interpersonal,7532
diy,64421
sports,15424
pets,6673
cooking,24919
interpersonal,7850
history,8794
pets,20581
travel,37515
buddhism,10896
diy,76153
cooking,91331
travel,96095
mythology,3084
diy,47208
cooking,89607
mythology,1962
mythology,2200
diy,85379
fitness,25916
cooking,76626
pets,10844
buddhism,17741
diy,139991
diy,49451
gardening,30700
health,450
travel,2793
mythology,15
parenting,24620
outdoors,8150
sports,10389
interpersonal,3043
health,7596
parenting,4862
health,13606
gardening,2612
pets,11905
health,14843
productivity,8372
history,39406
interpersonal,2475
parenting,2891
interpersonal,12382
health,4913
outdoors,6985
productivity,17384
pets,7143
outdoors,6526
parenting,26554
health,13908
parenting,27392
outdoors,5306
pets,11118
pets,7095
gardening,4125
history,20990
productivity,7683
travel,113803
cooking,76706
travel,62186
parenting,27732
mythology,3104
parenting,28178
interpersonal,16170
travel,64870
history,38254
parenting,12464
fitness,18461
history,10497
parenting,7880
productivity,4884
pets,18054
buddhism,18847
history,47370
productivity,18490
health,16425
pets,16987
history,1008
travel,103577
parenting,20637
travel,112731
outdoors,15514
parenting,16481
interpersonal,6695
pets,17442
outdoors,20176
productivity,2427
mythology,1639
travel,58633
travel,24050
travel,46488
diy,65774
fitness,4171
parenting,31259
history,25940
health,11271
pets,19389
productivity,9113
history,12202
gardening,19273
fitness,28982
health,887
pets,1966
travel,53852
diy,15034
history,1093
travel,21604
interpersonal,12189
history,47036
interpersonal,3150
health,4238
sports,1676
buddhism,24493
outdoors,5848
history,38970
pets,6922
diy,94320
pets,10562
pets,5551
interpersonal,15570
outdoors,3360
history,12233
gardening,9355
travel,2058
cooking,45463
sports,10568
health,5626
diy,8027
buddhism,17213
travel,111354
parenting,4253
fitness,13981
health,11340
sports,4875
productivity,9216
fitness,23858
cooking,51812
pets,523
parenting,5913
buddhism,9863
fitness,25907
gardening,22270
travel,45409
travel,79326
interpersonal,6784
interpersonal,4504
productivity,893
productivity,3762
mythology,3098
travel,26196
fitness,2021
buddhism,8699
sports,15080
sports,17998
interpersonal,14856
cooking,7250
health,9666
outdoors,9114
parenting,23453
outdoors,1852
pets,17896
fitness,2776
productivity,3042
diy,103532
parenting,12114
outdoors,7483
fitness,38372
interpersonal,7886
fitness,37176
fitness,13751
pets,9425
interpersonal,8387
outdoors,13026
pets,18217
mythology,4784
diy,139621
travel,117638
parenting,10483
history,35265
mythology,1023
interpersonal,16857
cooking,73013
pets,15591
travel,118096
health,5785
health,16682
pets,21122
pets,6547
buddhism,20661
gardening,34601
sports,1499
interpersonal,12993
travel,24836
mythology,658
fitness,576
productivity,3099
diy,12497
gardening,35175
mythology,4871
sports,17463
travel,22841
travel,55426
travel,46504
pets,7284
productivity,3903
pets,11704
productivity,12435
interpersonal,7715
sports,11942
travel,9068
parenting,9373
interpersonal,6396
diy,133403
outdoors,14659
productivity,13965
fitness,11836
travel,40051
health,1072
health,16395
cooking,3949
history,42046
buddhism,1303
pets,10647
pets,17969
diy,136209
travel,111376
health,606
interpersonal,7506
mythology,4581
history,10134
buddhism,20924
cooking,68515
parenting,26639
travel,20726
mythology,2532
interpersonal,2498
health,4386
sports,2604
history,8285
interpersonal,5326
health,13223
gardening,34073
health,3153
parenting,26348
productivity,9468
productivity,3075
history,8480
sports,2343
gardening,20220
sports,12976
sports,4497
health,13593
health,822
travel,47151
sports,13331
buddhism,12382
outdoors,8439
interpersonal,7509
history,749
cooking,123
history,11641
interpersonal,8440
gardening,3260
gardening,13688
interpersonal,5286
diy,105553
outdoors,17428
fitness,27680
cooking,50373
fitness,21090
interpersonal,13133
history,561
buddhism,10716
outdoors,16032
gardening,39428
history,3230
mythology,109
history,28979
cooking,36352
gardening,37862
sports,16947
cooking,83576
fitness,24250
outdoors,559
health,12529
gardening,33155
productivity,17077
gardening,37806
mythology,511
interpersonal,15348
pets,3190
fitness,32676
travel,14074
interpersonal,17988
gardening,1375
interpersonal,5367
mythology,183
buddhism,2818
fitness,2629
travel,74308
fitness,38069
productivity,7719
travel,58706
health,11328
buddhism,3323
buddhism,28493
parenting,20801
pets,708
pets,2127
cooking,70728
travel,91204
travel,67732
interpersonal,5831
diy,98808
outdoors,10361
fitness,6408
outdoors,609
health,11095
health,8888
gardening,7095
history,43003
diy,18525
history,38927
outdoors,4203
gardening,37235
history,13054
interpersonal,6764
pets,18647
pets,13704
interpersonal,13517
interpersonal,12628
productivity,12637
sports,14515
health,5461
gardening,34509
fitness,22263
gardening,36107
diy,40859
travel,27815
travel,111270
sports,15877
sports,3831
diy,33342
cooking,47508
travel,66907
history,9573
buddhism,20110
history,29167
sports,16397
outdoors,577
pets,20501
interpersonal,5532
fitness,5725
outdoors,309
interpersonal,15975
parenting,34459
fitness,38171
pets,196
diy,37519
health,15549
history,47059
pets,10720
pets,15022
sports,3372
fitness,7210
sports,15905
gardening,17479
travel,50366
productivity,18104
sports,12376
outdoors,11039
pets,17370
gardening,41764
pets,19715
mythology,852
sports,10275
sports,16106
cooking,40666
fitness,37645
history,8497
productivity,3359
mythology,1851
gardening,23937
interpersonal,10846
history,21473
interpersonal,9932
productivity,4040
pets,2057
buddhism,5881
history,1085
health,16
buddhism,18061
travel,84964
interpersonal,16942
pets,4410
sports,13232
sports,2681
pets,12141
travel,6204
mythology,2696
gardening,39185
productivity,9774
mythology,2031
interpersonal,13854
cooking,84186
health,4410
gardening,37390
mythology,2871
parenting,14946
pets,11192
cooking,36958
health,7186
mythology,2707
interpersonal,4147
gardening,13838
fitness,27872
buddhism,3923
buddhism,20721
mythology,1948
fitness,7579
productivity,8117
health,957
history,32751
outdoors,5652
productivity,14788
gardening,22649
productivity,3674
parenting,358
interpersonal,8129
fitness,36182
gardening,27535
sports,10428
fitness,16464
gardening,305
fitness,32426
buddhism,5387
interpersonal,2769
sports,16162
cooking,59824
buddhism,12877
productivity,905
history,21487
pets,20808
diy,75978
sports,726
fitness,28043
interpersonal,17285
history,19401
pets,18619
parenting,34605
fitness,927
health,13186
travel,116220
gardening,39223
history,38568
cooking,55125
productivity,2246
travel,54259
buddhism,8323
travel,36386
diy,76655
outdoors,10359
diy,110282
health,1765
productivity,3349
outdoors,15604
sports,16380
outdoors,10837
fitness,7017
outdoors,19755
outdoors,16308
sports,4665
outdoors,18865
parenting,7693
mythology,3247
history,40607
fitness,12454
mythology,1558
history,14293
sports,4985
pets,10944
gardening,4741
gardening,22428
interpersonal,10537
parenting,10450
interpersonal,14797
sports,5395
outdoors,392
health,15303
history,9386
pets,5805
productivity,17275
fitness,3698
history,8071
sports,12905
outdoors,3302
sports,16436
travel,107776
gardening,14795
fitness,28036
outdoors,8125
sports,5870
diy,66615
productivity,6996
parenting,27670
parenting,24975
interpersonal,13562
diy,58543
productivity,9665
outdoors,11095
interpersonal,11373
history,40958
parenting,32164
parenting,20554
diy,29133
mythology,4757
history,7770
health,5710
mythology,5027
outdoors,16871
productivity,15038
cooking,36025
sports,16371
buddhism,5846
health,14238
parenting,11730
history,27234
interpersonal,3429
fitness,31733
productivity,2434
fitness,36868
history,6189
gardening,13717
gardening,3405
cooking,24375
travel,100907
mythology,1895
parenting,2862
cooking,51839
sports,1479
interpersonal,10561
cooking,58251
cooking,47590
cooking,67636
interpersonal,604
outdoors,3268
productivity,17805
productivity,18412
sports,13726
outdoors,3591
history,32687
interpersonal,13899
parenting,33157
travel,16411
fitness,36615
fitness,84
history,31153
outdoors,10990
health,5052
travel,119611
mythology,4575
mythology,4834
productivity,14372
outdoors,157
cooking,79161
travel,62621
interpersonal,15298
health,12694
parenting,31548
pets,18006
sports,12052
productivity,1896
cooking,67661
cooking,71067
buddhism,19802
gardening,2858
buddhism,3645
travel,42401
pets,14960
buddhism,26747
health,13059
history,30739
parenting,12221
pets,18605
history,32793
cooking,35318
gardening,33909
pets,519
cooking,67519
gardening,33066
gardening,5548
history,20735
history,40359
parenting,20563
buddhism,14024
outdoors,10441
mythology,5055
sports,5844
history,32813
gardening,3928
travel,109656
interpersonal,9798
gardening,20217
productivity,3576
sports,7131
interpersonal,11785
mythology,2414
travel,98969
cooking,62426
outdoors,6789
travel,98161
gardening,30689
cooking,37119
health,5256
interpersonal,1981
interpersonal,5050
cooking,34254
outdoors,17746
cooking,25049
interpersonal,5092
parenting,30324
pets,1497
sports,13067
fitness,7955
history,30882
sports,17694
gardening,31487
diy,1657
travel,96204
travel,92249
sports,9095
mythology,3228
sports,16195
travel,12799
fitness,32120
gardening,25312
productivity,10888
interpersonal,15401
health,5354
health,10781
parenting,5789
history,27162
history,46210
mythology,213
pets,12169
parenting,19489
health,12724
pets,15958
productivity,15601
pets,19013
gardening,817
parenting,8441
buddhism,14011
outdoors,1772
outdoors,3524
productivity,8415
gardening,29767
buddhism,2949
pets,20329
travel,104708
fitness,19807
travel,42541
travel,20717
buddhism,13369
buddhism,2515
gardening,30562
diy,12314
cooking,91079
history,32391
buddhism,8735
productivity,9169
productivity,12325
productivity,6908
parenting,14392
interpersonal,26
history,25687
fitness,586
cooking,37110
gardening,5239
pets,7637
fitness,37334
buddhism,7222
health,9785
pets,17390
buddhism,12500
cooking,11037
gardening,35872
sports,12474
productivity,8862
productivity,1413
gardening,36490
parenting,2213
fitness,3406
travel,120884
interpersonal,1325
interpersonal,10435
interpersonal,5247
parenting,7517
interpersonal,14885
diy,95553
travel,25016
parenting,1231
parenting,8889
mythology,205
diy,29162
outdoors,8530
travel,60171
interpersonal,2115
fitness,15951
cooking,20327
mythology,5001
pets,17961
history,6198
history,47778
outdoors,19366
sports,17971
productivity,12339
pets,18261
buddhism,1892
history,15020
health,15948
buddhism,9006
fitness,18499
pets,1826
pets,2190
parenting,3650
interpersonal,3573
productivity,5098
pets,19298
pets,11114
pets,17928
fitness,2342
outdoors,19210
sports,17827
travel,78215
interpersonal,15279
parenting,33504
outdoors,19027
interpersonal,16620
mythology,1990
history,12227
pets,19850
sports,3161
buddhism,20010
sports,1864
history,9461
interpersonal,15934
outdoors,10943
mythology,3176
interpersonal,16657
buddhism,12721
history,249
gardening,2017
health,12049
buddhism,7838
outdoors,10006
health,4616
cooking,20214
travel,74447
gardening,3938
parenting,29550
health,7163
interpersonal,10500
history,23433
outdoors,6009
health,15907
outdoors,5276
sports,3252
interpersonal,7775
outdoors,1514
diy,43866
fitness,2721
interpersonal,5346
cooking,45091
productivity,7540
travel,6775
sports,18117
pets,9564
cooking,6389
fitness,12900
buddhism,24655
fitness,33936
parenting,29689
gardening,5134
history,43017
parenting,18222
history,38880
diy,92776
history,14643
interpersonal,13870
gardening,41161
gardening,37280
productivity,4675
sports,11837
gardening,11300
health,7017
outdoors,15687
gardening,28656
travel,71384
productivity,1965
parenting,7056
fitness,14483
buddhism,2382
parenting,11103
diy,15649
pets,7363
travel,90525
cooking,68669
fitness,11492
sports,17926
cooking,44587
outdoors,5067
parenting,2946
cooking,90180
productivity,16723
diy,133832
mythology,244
fitness,37673
buddhism,22800
sports,14199
history,42566
travel,9621
cooking,58130
outdoors,16297
buddhism,24301
cooking,23827
buddhism,5581
outdoors,9820
fitness,20927
buddhism,26468
gardening,14525
health,5486
parenting,21803
pets,21164
outdoors,3641
interpersonal,9354
pets,15590
diy,37817
diy,132489
buddhism,14147
diy,90934
outdoors,18417
history,43990
interpersonal,18049
cooking,85839
parenting,22906
fitness,33239
mythology,2251
health,13194
mythology,2567
travel,55505
interpersonal,13963
gardening,27471
productivity,12109
parenting,12205
history,26587
interpersonal,9673
diy,106542
mythology,925
buddhism,26922
sports,16139
pets,19073
interpersonal,2849
outdoors,19208
parenting,18290
pets,21240
diy,2658
health,15786
travel,43843
sports,10753
outdoors,18253
pets,2290
sports,16815
interpersonal,16310
interpersonal,16327
parenting,4370
pets,11053
outdoors,4647
gardening,36143
gardening,38894
fitness,3623
cooking,8684
history,41787
history,32241
pets,5617
interpersonal,18115
outdoors,12931
sports,60
fitness,9728
interpersonal,15510
health,3765
cooking,55992
history,38996
sports,15496
health,11045
health,774
mythology,1664
outdoors,18816
gardening,41079
parenting,29742
pets,3248
travel,112055
history,23475
gardening,9902
sports,411
fitness,12938
gardening,7956
diy,124232
gardening,27597
interpersonal,633
cooking,92005
health,7165
gardening,35341
history,42147
diy,129292
travel,56856
cooking,75722
mythology,972
parenting,7891
fitness,27513
history,25829
fitness,34374
buddhism,9304
outdoors,18173
sports,16793
sports,3182
travel,41847
gardening,30033
interpersonal,13172
pets,19207
productivity,4665
fitness,2282
productivity,13924
cooking,64486
health,9720
productivity,17456
diy,138887
interpersonal,16326
sports,12640
interpersonal,2958
health,14462
sports,17823
outdoors,6715
history,1923
health,15277
outdoors,1780
buddhism,20205
parenting,26483
cooking,5615
gardening,39233
buddhism,14424
interpersonal,16852
interpersonal,11656
cooking,21516
gardening,8690
outdoors,7926
diy,117257
sports,7421
sports,17187
buddhism,20919
diy,106635
parenting,21673
outdoors,828
outdoors,18394
buddhism,16117
pets,18015
parenting,2
fitness,7254
interpersonal,12592
history,46637
productivity,18077
buddhism,18452
pets,972
diy,25703
buddhism,21754
productivity,775
history,33195
